time,row,col,demand
0,6,4,0
690,4,3,0
637,2,1,0
294,3,2,0
228,7,5,21
433,5,1,0
17,2,0,0
57,0,7,226
439,6,0,0
77,0,2,4
395,5,2,0
204,1,6,25
640,7,2,0
700,1,6,640
612,6,1,0
94,0,1,19
640,0,0,60
170,7,6,0
709,0,2,13
277,4,3,29
638,2,7,60
354,0,2,37
540,0,3,49
457,3,4,77
405,6,2,0
253,0,5,14
117,2,5,70
670,2,7,172
502,4,2,0
67,2,4,147
707,2,6,203
113,4,5,20
375,3,5,131
219,2,6,26
573,1,3,184
344,1,4,0
629,0,1,11
704,2,1,13
209,0,3,36
586,0,4,10
397,6,2,0
223,6,2,0
403,6,0,0
45,6,4,9
394,1,6,0
395,1,1,11
11,1,6,101
580,0,7,98
53,1,5,3
421,4,5,39
164,5,2,11
437,1,4,20
369,0,4,0
502,5,5,267
584,4,0,0
501,1,2,131
412,6,4,12
656,5,3,0
484,1,0,0
282,1,2,61
507,4,5,47
238,5,6,8
727,0,0,250
74,1,5,19
356,2,4,64
665,6,4,20
6,4,4,0
479,1,6,539
527,5,4,38
135,5,6,35
272,1,4,0
668,4,0,0
207,6,1,0
71,1,0,0
703,2,7,134
558,0,3,42
442,7,4,0
243,0,5,14
655,4,5,39
706,7,3,0
568,6,0,0
57,5,6,72
98,6,3,0
477,3,4,90
46,3,3,20
678,4,6,12
448,1,1,8
35,4,2,9
667,1,7,216
709,4,4,78
216,7,4,5
534,0,2,80
30,0,3,0
97,6,4,29
696,4,3,22
516,4,4,9
533,1,2,15
337,4,7,75
14,6,2,0
335,4,4,26
281,5,5,41
365,7,0,0
470,6,5,34
422,3,4,94
162,5,3,4
573,3,4,184
691,7,6,0
484,5,0,0
9,7,0,0
488,3,4,0
446,1,4,33
440,0,4,0
622,1,5,92
591,2,5,166
495,4,3,59
166,7,3,7
10,4,2,0
21,4,5,77
106,1,2,13
113,0,7,13
634,6,1,0
18,1,6,865
523,7,7,9
51,6,2,0
228,2,0,0
416,4,0,0
551,2,6,1517
243,4,0,0
224,1,1,0
301,6,7,0
410,4,7,94
240,2,0,0
518,1,5,228
109,6,6,13
26,7,0,0
509,3,1,9
500,2,3,109
276,0,4,38
169,7,7,0
432,3,3,111
410,0,5,195
339,2,7,71
368,4,7,0
425,4,5,87
458,1,1,8
367,1,0,0
544,7,1,0
656,5,2,0
404,3,5,190
281,5,7,18
610,2,1,0
141,5,6,163
145,2,4,14
220,1,1,0
383,5,3,11
463,1,1,27
621,7,2,11
244,4,5,9
364,4,0,0
585,2,7,0
452,7,0,0
321,7,6,0
491,7,2,0
153,0,0,7
243,2,2,17
336,6,4,6
235,7,7,13
28,1,0,0
725,7,0,0
271,2,1,0
482,4,6,145
217,1,3,64
496,1,1,8
654,2,1,12
49,1,1,0
438,5,6,0
105,3,1,4
342,3,6,17
728,2,7,2550
381,2,3,50
625,6,7,30
278,4,6,14
62,7,5,6
602,4,2,28
699,2,4,169
0,6,2,0
308,5,5,55
261,2,7,62
718,5,6,43
60,7,7,0
662,3,6,204
117,1,5,50
98,3,1,4
72,2,6,44
637,7,0,0
551,7,5,9
610,4,2,0
425,7,1,0
268,4,6,14
495,4,1,0
106,3,7,37
603,4,1,18
552,7,4,0
318,4,5,32
652,4,3,133
359,7,0,0
591,1,1,0
11,7,7,0
239,2,3,29
530,3,2,55
546,4,1,49
412,7,6,7
329,5,3,42
222,5,3,5
150,2,5,4
651,5,3,20
323,1,0,0
312,5,5,67
415,7,4,0
678,4,1,0
661,5,5,39
592,6,4,0
390,5,4,7
651,0,3,122
271,1,4,0
506,2,1,9
591,3,4,298
94,6,2,0
254,3,4,169
378,4,7,68
246,4,1,0
343,1,5,17
718,6,0,0
660,3,1,0
175,2,5,12
292,1,3,34
718,6,1,13
479,1,0,0
150,3,6,4
352,1,2,44
374,0,5,131
87,2,5,470
561,2,1,0
619,1,3,64
430,2,5,168
578,0,6,237
171,3,5,0
0,7,3,0
311,6,5,0
719,4,6,259
468,7,3,0
597,0,2,61
78,1,2,4
117,0,4,33
651,6,5,82
117,5,6,6
616,2,4,75
313,7,6,32
175,3,4,12
125,0,7,0
551,3,5,1143
252,0,7,31
539,5,4,0
518,1,1,0
561,2,2,0
522,6,3,23
378,3,1,11
185,4,3,19
336,3,7,44
118,2,7,29
357,2,4,64
607,6,0,0
218,1,6,26
49,2,2,9
123,2,4,17
329,4,0,0
721,4,6,472
242,3,5,50
63,0,3,64
122,5,2,11
352,6,4,21
237,1,7,90
11,5,2,0
65,7,2,0
29,6,4,0
2,2,3,0
257,0,2,36
361,7,5,0
553,7,7,16
363,3,6,210
558,1,5,42
241,0,3,50
82,4,7,89
170,7,0,0
514,6,1,0
323,7,7,0
505,1,0,0
281,3,1,0
140,6,1,0
509,1,2,23
628,1,6,37
242,3,0,0
461,3,3,42
130,3,7,48
330,2,3,77
338,7,3,6
176,5,5,0
180,0,6,7
292,2,7,19
148,6,4,0
680,7,3,0
509,0,1,0
114,2,4,43
715,5,2,13
708,1,7,43
387,3,5,142
159,2,4,98
201,1,1,0
140,5,3,4
305,6,0,0
92,7,1,0
377,0,2,11
311,2,7,64
62,6,4,6
53,6,5,0
348,4,0,0
365,1,2,28
198,5,1,0
533,4,6,40
466,7,1,0
201,1,2,0
74,4,1,4
300,0,2,15
183,1,6,15
679,0,3,41
459,7,5,13
513,6,1,0
150,6,4,0
681,2,5,12
333,2,5,174
341,5,6,0
207,5,0,0
239,4,6,26
69,0,7,472
80,6,6,0
75,7,6,0
226,0,3,8
162,3,5,581
466,6,6,0
316,6,3,0
601,6,2,28
214,4,2,0
116,1,2,40
393,0,4,0
537,4,5,0
250,1,6,22
371,5,0,0
306,6,6,6
454,4,2,8
249,5,5,0
400,1,5,190
319,0,4,0
385,6,6,0
188,0,1,0
387,2,1,0
15,7,4,24
647,4,6,213
498,2,4,117
525,3,1,0
190,6,4,12
40,0,2,54
109,4,2,0
126,0,0,0
295,1,4,0
618,1,6,11
623,4,6,36
0,4,5,17
330,2,1,16
53,7,7,0
153,0,4,73
472,5,7,77
547,5,2,9
300,3,4,25
330,4,1,10
240,2,3,27
312,5,3,16
222,6,3,5
9,2,0,0
491,7,3,0
441,4,2,0
464,0,6,8
290,1,1,0
631,4,7,0
426,4,6,70
200,5,4,5
82,1,0,6
287,7,3,0
19,0,4,270
537,2,1,0
695,1,1,21
725,2,7,613
426,7,0,0
417,6,3,7
296,7,0,0
513,4,7,9
128,3,3,251
253,1,0,0
120,2,5,46
427,3,7,39
719,6,5,0
102,1,0,0
558,3,3,16
22,6,3,5
485,2,4,28
650,7,0,0
354,0,6,141
507,0,1,9
231,2,5,16
47,3,3,20
567,0,4,194
236,6,5,21
597,7,6,17
611,2,7,46
47,2,4,32
678,0,3,66
389,3,5,37
92,2,7,132
41,0,6,344
427,1,7,149
606,7,0,0
40,1,6,650
219,3,0,0
252,0,3,36
202,0,5,5
352,0,1,10
561,6,3,0
444,2,5,8
118,1,1,0
397,2,4,126
678,3,1,0
54,0,7,0
302,5,1,15
446,1,2,33
710,1,7,22
364,4,1,22
537,4,6,0
725,0,6,3031
447,4,4,58
368,5,0,0
349,7,1,0
648,3,6,133
229,6,0,0
462,2,7,27
350,3,6,87
461,6,7,8
172,7,4,4
454,0,2,53
362,6,7,11
678,6,1,0
216,0,3,64
589,3,1,17
460,0,4,27
661,2,4,368
235,5,7,13
582,0,0,0
554,5,7,52
149,5,0,0
395,4,5,11
461,1,7,96
64,3,5,455
307,1,2,83
490,2,1,0
707,3,7,56
23,2,1,0
120,6,3,4
83,6,2,4
78,5,1,0
620,1,4,64
151,1,6,0
707,4,1,0
290,6,1,0
141,3,2,13
475,5,6,146
674,2,6,354
224,0,0,13
606,0,7,46
534,5,7,0
199,5,7,0
663,4,7,204
114,1,7,27
652,7,6,63
727,7,6,95
668,1,3,141
559,5,5,26
76,7,2,0
123,7,0,0
634,7,4,0
592,2,3,203
518,4,4,47
41,1,0,3
405,0,7,484
49,7,6,3
706,5,1,0
570,1,2,58
467,3,2,0
56,0,1,12
57,6,3,0
73,3,2,6
633,4,5,0
606,5,0,0
602,7,4,28
452,1,4,53
469,6,6,0
535,3,1,0
1,0,4,3
281,0,2,56
172,7,0,0
1,6,2,0
567,5,6,32
360,1,6,1153
533,1,4,15
98,1,0,0
279,2,5,9
611,6,3,0
443,2,2,0
584,0,0,0
177,2,4,0
478,1,2,77
273,0,4,0
652,7,1,0
360,0,7,404
333,6,6,6
42,0,5,1021
599,0,6,220
2,5,4,0
141,7,6,11
328,1,5,109
599,4,4,203
572,6,4,16
632,1,3,37
55,0,3,0
707,6,5,78
127,4,2,0
362,5,2,17
400,3,7,60
330,6,6,0
379,1,2,46
497,2,7,95
16,7,4,11
371,7,0,0
102,3,1,0
243,5,4,14
126,1,0,0
373,7,2,0
168,6,3,0
5,5,4,0
92,1,6,114
716,7,7,22
405,1,0,0
644,0,3,86
4,2,3,0
719,0,0,69
88,1,6,322
132,2,2,35
10,7,4,0
497,2,6,189
283,3,6,41
177,0,1,0
202,5,7,0
726,5,5,849
317,2,6,57
210,5,7,45
76,5,7,0
451,7,3,0
240,5,1,0
470,2,0,0
216,4,5,85
268,7,7,0
207,2,7,36
402,1,7,126
615,0,0,11
502,4,0,0
711,7,4,0
224,6,6,0
66,1,0,0
579,1,5,98
541,4,1,15
280,1,5,32
653,7,6,122
480,3,7,72
70,5,7,24
36,0,0,11
34,4,3,46
425,7,2,0
493,1,4,117
21,2,2,27
612,5,2,0
516,0,0,23
616,7,5,11
550,3,0,9
538,3,3,0
288,2,7,40
611,4,1,0
377,6,1,0
179,2,1,4
307,0,2,43
718,6,6,35
71,3,7,21
171,2,1,0
615,5,1,0
500,1,4,59
177,7,4,15
665,6,1,0
457,4,4,96
429,5,0,0
706,5,3,0
339,6,2,0
664,0,6,204
668,7,5,31
121,1,3,63
569,2,0,26
204,5,6,214
98,5,7,20
70,0,4,94
175,6,2,0
62,5,0,0
463,3,2,8
426,3,3,55
332,2,2,10
705,2,1,0
251,2,7,17
351,1,2,87
28,5,4,0
607,7,1,0
698,7,3,0
113,4,6,56
611,5,4,0
54,6,3,0
481,2,2,8
577,6,0,0
463,5,7,42
599,3,7,88
204,3,4,101
286,2,6,29
676,3,2,41
101,0,1,0
120,5,4,11
201,3,1,0
232,4,3,47
289,6,0,0
509,4,7,29
482,5,3,0
701,4,6,1370
434,1,3,197
79,5,3,0
201,5,0,0
130,7,7,0
709,7,2,0
110,0,6,13
699,7,2,0
293,6,1,0
200,0,1,0
711,4,6,0
384,2,6,1222
495,6,2,0
239,0,2,37
25,0,3,20
397,0,6,53
631,0,6,0
628,2,6,175
245,0,4,5
119,1,7,27
324,5,4,16
578,2,6,369
236,2,7,37
484,7,0,0
315,0,0,10
556,7,2,0
662,1,5,376
134,7,2,0
205,0,7,65
400,5,6,71
228,0,3,5
467,4,6,0
343,1,0,0
231,0,6,13
632,0,6,30
670,4,2,0
542,1,7,135
204,2,0,5
639,4,6,11
193,7,7,0
300,6,1,0
405,7,7,7
407,2,7,238
109,3,0,0
313,0,5,251
79,5,7,0
228,2,4,8
623,1,3,149
28,0,1,0
680,4,5,0
317,5,7,20
404,5,3,71
231,0,0,13
228,6,7,5
302,6,4,30
516,5,0,0
549,6,0,0
161,0,0,4
432,4,0,0
152,7,4,0
610,2,5,11
714,5,6,0
182,0,2,43
24,6,5,11
470,7,6,0
137,6,6,70
352,3,7,37
320,0,7,6
130,1,7,188
345,1,6,10
508,3,6,91
223,7,5,0
245,1,4,0
513,3,5,0
436,7,5,0
500,0,6,231
471,7,6,27
292,7,3,0
63,7,1,0
79,4,1,0
99,1,2,10
296,1,2,0
257,7,4,5
620,6,6,46
187,6,0,0
82,4,2,0
528,4,0,0
675,2,0,21
700,2,6,2036
391,6,7,0
53,3,7,0
334,3,0,51
293,0,3,25
136,6,2,0
499,3,2,0
205,4,3,28
360,3,5,517
370,1,3,0
175,6,3,0
255,5,7,44
354,4,1,6
637,0,0,0
280,6,3,0
55,0,5,6
577,1,3,142
7,3,5,5
349,5,0,0
6,0,3,0
636,5,1,0
416,6,1,0
388,0,5,30
351,6,2,0
642,3,2,30
653,7,2,0
553,3,2,32
205,7,5,5
711,1,0,0
150,5,2,0
239,3,6,21
11,4,5,68
553,6,3,0
18,3,4,77
612,7,2,0
430,0,7,118
5,5,7,0
684,0,2,128
328,3,3,103
335,0,7,242
713,6,2,0
459,6,1,0
528,1,1,0
269,3,7,9
64,2,1,3
15,2,0,0
149,5,3,0
116,6,5,6
73,0,2,19
78,0,7,6
84,4,1,12
686,6,4,0
328,2,6,119
506,0,6,295
31,5,6,0
711,6,3,0
484,6,0,0
18,0,2,68
81,6,3,0
138,4,7,135
656,0,0,0
701,0,5,990
183,5,0,0
95,2,3,117
297,0,6,0
323,6,7,16
379,6,3,17
167,6,1,0
213,1,7,65
618,3,4,103
237,2,1,8
65,3,5,702
646,4,7,86
85,5,7,259
446,5,2,8
198,2,4,0
362,7,5,28
263,5,0,0
107,7,1,0
726,4,5,2146
279,2,0,5
323,1,3,10
467,3,3,8
685,4,0,0
297,3,2,0
520,6,6,15
685,2,4,214
560,5,7,0
108,3,4,0
245,0,0,0
385,4,4,30
73,2,3,16
399,5,2,0
398,5,1,0
446,5,6,8
23,7,6,0
40,2,1,0
472,1,6,90
117,7,3,0
667,3,5,153
141,3,6,394
100,0,4,37
434,4,7,86
585,6,2,27
464,6,3,0
139,5,4,4
421,5,4,7
462,1,0,0
196,6,6,0
58,2,6,241
618,6,2,11
100,3,2,0
84,4,7,83
173,1,7,7
446,7,4,0
301,0,1,6
109,0,3,40
514,0,0,0
400,5,2,0
412,1,2,39
239,6,1,0
71,5,1,0
332,7,1,0
396,7,2,0
664,3,5,216
82,6,3,0
121,1,4,13
108,5,1,10
620,2,3,36
139,6,0,0
132,5,5,42
511,4,6,0
665,1,1,0
602,6,5,110
174,0,6,0
392,2,6,0
112,6,0,0
718,1,4,91
191,6,7,0
91,7,2,0
402,2,5,172
614,4,7,46
566,0,2,58
397,0,1,7
1,0,5,3
278,5,6,9
366,0,7,11
20,1,6,1712
711,0,0,0
569,3,6,158
104,3,6,29
175,5,1,0
290,6,2,0
126,1,5,7
162,2,6,743
36,5,5,118
312,1,5,535
444,4,3,20
124,2,7,0
477,1,5,165
469,5,0,0
138,5,0,11
103,4,2,0
730,5,0,0
87,5,0,10
373,2,6,249
356,6,4,10
362,6,0,0
441,5,2,0
425,1,1,7
347,4,5,17
711,7,2,0
661,1,7,133
18,7,6,74
314,4,3,135
683,6,0,0
99,0,0,10
536,0,5,0
194,6,7,33
398,7,5,0
436,7,0,0
337,2,3,75
602,3,2,18
498,2,1,0
100,4,1,4
235,1,5,16
564,5,4,0
191,1,2,12
359,6,6,87
551,6,0,0
156,3,7,151
118,4,4,27
478,6,6,228
682,6,6,0
254,1,6,36
516,2,1,9
127,6,2,0
378,5,0,0
414,6,0,0
11,5,7,17
155,0,6,132
207,2,1,0
654,7,1,0
119,2,0,0
274,1,0,0
657,0,6,12
102,2,5,4
10,6,2,0
609,4,1,0
692,3,2,0
428,4,1,7
69,6,5,15
481,0,5,153
273,7,7,0
104,0,0,6
229,2,6,26
540,4,7,49
295,4,6,6
388,1,7,23
128,4,6,24
323,5,4,6
678,6,6,0
580,7,4,0
612,1,1,0
667,4,5,141
264,0,1,18
350,3,5,81
80,6,3,0
625,1,0,0
560,2,3,0
609,7,0,0
535,7,1,0
163,2,4,51
557,1,4,16
361,7,7,7
384,4,7,37
194,2,2,0
110,5,7,50
462,3,7,42
703,1,4,225
191,0,0,0
70,3,6,508
193,7,0,5
94,1,0,0
418,0,1,0
237,5,7,29
201,0,7,0
709,2,7,22
705,3,7,22
290,4,2,0
153,5,7,73
295,4,7,6
242,3,7,22
330,0,2,20
282,7,2,0
385,5,3,7
48,5,5,27
681,4,2,0
181,7,3,4
493,3,7,50
641,4,5,86
550,6,4,25
280,1,4,23
355,0,4,75
277,5,7,38
55,0,1,0
92,4,1,38
43,6,0,0
653,5,5,71
710,6,0,0
536,7,6,0
325,6,7,6
265,0,2,23
182,7,3,7
468,7,2,0
244,4,3,53
190,5,6,19
184,4,1,15
545,0,1,0
675,2,1,0
457,0,7,77
18,7,0,0
409,6,1,0
343,4,3,71
220,0,7,8
481,3,5,281
674,6,3,21
466,5,4,0
624,6,4,67
488,2,6,0
58,5,6,42
28,2,3,0
613,3,5,36
582,5,4,17
216,6,4,8
608,1,5,18
338,6,2,0
170,7,4,0
105,4,3,0
283,4,6,18
27,1,3,9
184,6,7,0
195,1,5,25
665,2,7,192
642,2,5,116
679,2,2,12
0,5,1,0
521,0,0,15
212,4,6,287
625,2,0,0
47,0,0,0
339,2,1,0
465,5,7,0
725,7,3,36
511,6,6,0
281,0,3,23
333,5,2,0
103,7,3,0
81,5,0,0
681,4,5,12
544,4,4,71
439,4,7,0
190,6,7,24
450,1,7,53
703,6,4,56
681,6,5,12
641,3,2,19
345,6,7,0
76,3,6,4
167,2,0,0
697,6,1,0
70,6,7,27
594,2,2,44
396,3,3,7
325,2,2,57
714,0,7,35
525,1,3,114
2,1,4,3
124,2,0,0
236,5,0,0
502,6,3,0
517,1,4,61
545,0,5,71
28,3,5,0
154,6,6,11
225,6,6,0
278,3,4,23
504,7,3,0
710,2,1,0
552,4,0,0
331,2,3,61
140,2,5,606
288,4,7,55
547,5,7,80
581,1,3,115
322,4,6,0
92,6,0,0
545,2,7,129
699,3,2,13
98,0,5,6
311,4,7,49
658,2,1,0
113,6,3,0
638,0,0,0
378,1,4,57
550,6,6,40
11,2,3,246
254,0,3,39
720,7,1,0
353,6,4,6
149,1,6,11
450,7,1,0
519,7,4,0
542,7,4,0
501,7,1,0
195,4,1,20
677,1,1,21
411,6,3,7
342,3,0,0
207,4,7,16
9,4,4,71
503,1,5,499
340,7,7,0
422,7,6,0
323,6,5,16
701,0,6,1474
51,2,2,12
99,2,2,17
336,7,4,10
191,2,1,31
150,6,2,0
317,7,7,6
474,5,0,8
422,5,1,19
164,0,0,11
298,2,7,6
326,4,2,0
248,6,6,0
402,3,5,202
308,3,5,89
619,2,5,46
363,0,1,28
195,2,2,28
3,5,1,0
285,0,6,65
136,0,1,4
434,1,7,197
114,1,4,27
374,1,4,135
104,1,5,10
539,3,1,0
87,0,1,6
37,2,2,97
455,2,0,0
438,7,1,0
370,2,5,28
374,4,2,0
174,0,5,4
254,0,2,142
337,6,5,21
543,3,4,111
648,5,3,31
472,3,1,8
28,4,3,14
224,2,6,0
225,0,7,5
18,0,7,161
703,2,3,56
281,2,3,18
339,3,3,81
700,7,1,0
51,0,4,0
171,0,1,0
583,1,1,0
168,4,0,0
56,5,4,30
433,3,4,99
524,5,1,137
180,7,2,0
611,6,1,0
569,3,4,168
577,7,2,0
198,5,5,0
426,4,1,19
594,2,3,159
486,0,6,36
353,5,2,0
641,0,0,0
622,6,2,11
547,4,5,71
161,3,6,1175
289,4,2,0
713,0,7,22
694,0,0,21
17,0,5,213
216,4,0,0
481,0,6,226
667,1,5,223
82,5,7,91
278,7,6,32
612,0,4,0
185,5,5,24
212,4,2,0
556,6,0,0
559,0,6,0
371,6,0,0
244,0,1,0
49,6,4,6
182,3,3,19
141,5,0,0
599,4,1,17
212,5,6,323
602,4,1,18
401,4,3,30
120,0,5,17
637,0,4,11
664,4,5,153
96,0,5,43
466,0,7,0
631,4,6,19
711,3,3,0
391,0,1,0
326,3,0,0
284,6,7,14
653,1,4,31
626,3,3,60
657,0,5,0
504,4,3,219
558,1,0,0
293,2,6,79
283,3,5,61
671,5,2,31
483,6,5,14
204,6,1,0
479,7,4,8
275,5,7,5
265,0,0,0
338,0,3,44
529,1,6,200
253,1,1,0
493,5,7,8
546,5,0,15
438,4,7,20
353,4,0,6
217,0,5,34
432,5,4,106
699,0,0,43
136,0,0,0
451,2,0,8
593,7,5,17
599,5,1,0
504,5,6,372
430,7,7,24
575,0,5,722
338,7,7,0
445,1,2,25
614,0,0,18
686,4,4,0
566,5,6,52
281,3,3,14
109,0,1,4
413,5,5,63
485,0,2,59
684,6,5,21
588,1,7,27
15,7,1,0
586,7,1,0
458,2,3,42
409,7,1,0
127,7,2,0
615,2,4,64
46,7,1,0
716,6,5,125
101,6,2,0
643,5,4,37
604,1,7,57
459,5,1,13
350,7,6,6
50,6,1,0
278,1,0,0
288,1,6,19
2,0,3,3
435,4,4,33
158,3,2,0
60,4,5,57
454,6,1,0
709,0,3,22
391,5,4,18
116,7,6,4
468,5,3,8
694,3,4,107
353,4,6,75
702,5,0,0
226,7,1,0
178,2,7,0
720,2,3,95
238,3,6,47
481,5,0,0
148,0,2,0
48,6,1,0
193,3,7,25
183,6,7,4
50,2,6,19
254,2,6,44
558,6,2,0
571,4,2,0
196,1,5,20
68,4,0,0
305,6,2,0
262,1,7,75
232,5,5,16
423,1,2,106
307,6,1,0
175,3,5,0
68,0,4,235
574,2,4,303
277,5,1,0
200,7,5,0
354,7,1,0
453,1,2,33
245,6,0,0
630,3,4,19
713,4,1,0
695,7,0,0
445,5,3,0
519,4,7,91
424,2,3,82
728,7,3,36
592,5,3,0
691,4,7,0
169,0,0,0
17,3,6,454
553,5,1,0
300,6,3,0
296,0,0,6
727,4,5,2382
239,2,2,34
25,3,4,32
612,0,7,11
166,0,5,1175
163,7,5,11
558,1,4,0
698,1,5,169
510,0,5,15
10,6,3,3
52,5,4,3
125,7,3,0
65,0,4,154
658,5,2,0
698,7,0,0
706,4,1,22
215,7,6,5
628,5,7,78
354,7,7,10
34,7,2,0
255,3,1,0
122,0,0,0
51,6,5,0
362,6,1,0
26,0,5,9
681,4,1,0
623,7,5,0
10,3,3,177
609,6,4,0
637,0,6,11
215,0,1,16
365,2,0,0
51,0,7,6
109,2,3,33
103,5,0,0
570,7,1,0
653,7,5,0
264,2,1,0
312,3,0,0
476,2,1,0
126,5,3,0
630,0,6,49
328,2,1,16
372,5,2,0
561,6,5,0
631,7,5,0
336,0,0,6
58,3,2,24
588,0,4,34
221,4,4,21
380,7,0,0
418,0,0,0
454,1,4,78
692,7,7,0
128,4,3,7
596,3,4,115
451,0,3,40
495,4,6,50
238,0,4,16
669,7,1,0
396,7,4,0
723,1,1,0
413,2,4,24
518,5,4,47
124,1,6,4
678,4,7,12
299,2,2,6
570,0,3,158
94,3,0,0
295,4,3,211
578,0,4,115
321,4,4,10
585,7,4,0
121,1,0,0
99,3,1,13
515,6,1,0
24,4,5,32
615,1,2,28
724,5,6,309
282,2,0,0
154,0,6,263
705,1,6,78
649,7,2,31
185,7,6,0
601,7,5,18
58,0,1,0
521,6,5,53
352,1,4,48
614,1,7,36
593,4,0,17
59,7,2,0
31,7,3,0
27,2,1,0
404,3,6,202
138,6,7,24
135,1,1,4
498,2,2,45
356,0,5,118
347,3,3,21
96,5,3,0
339,0,2,17
271,5,2,0
40,3,2,14
687,5,3,0
702,1,3,169
665,2,2,82
520,1,3,143
25,3,1,6
374,1,6,57
445,6,0,0
100,5,6,0
136,2,2,4
575,2,0,10
1,2,6,5
460,4,1,21
194,5,0,0
706,1,6,69
712,4,4,13
